TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	INSKUDD	UTLAN	LANGTIDSOVERVAKET_FLG	PURRING_ANTALL_12MND	LO_MEDLEM_FLG	FAM_VOKSNE_ANT	FAM_BARN_ANT	ANT_INNLOGGINGER_MOBILBANK	ANT_INNLOGGINGER_NETTBANK	LONNSOMHET_PER_MND
20190329	2096	11259	50	0	0	NULL	0	2	0	NULL	NULL	116
20190430	2096	13226	29	0	0	NULL	0	NULL	NULL	31	0	83
20190430	2096	8620	164	946	0	NULL	0	NULL	NULL	20	2	1131
20190430	2096	3799	290	0	0	NULL	0	1	2	13	0	879
20190329	2096	1145	11	0	0	0	1	NULL	NULL	11	5	434
20190430	2096	11008	6	0	0	NULL	0	2	0	9	14	38
20190329	2096	3061	77	0	0	0	0	NULL	NULL	0	8	193
20190430	2096	8819	24	0	0	NULL	0	1	1	NULL	NULL	24
20190430	2096	15402	24	0	0	NULL	0	2	1	80	0	53
20190430	2096	19674	1125	0	0	NULL	0	NULL	NULL	0	0	1859
20190329	2096	14012	638	0	0	NULL	0	NULL	NULL	0	0	775
20190430	2096	11384	597	0	0	NULL	1	NULL	NULL	0	4	731
20190430	2096	14723	30	0	0	NULL	1	NULL	NULL	7	0	78
20190329	2096	6123	15	1627	0	NULL	0	2	1	10	2	196
20190329	2096	19756	94	0	0	NULL	0	NULL	NULL	25	0	14
20190329	2096	5497	70	0	0	NULL	0	NULL	NULL	6	0	166
20190329	2096	79	2	0	0	NULL	1	NULL	NULL	26	3	236
20190329	2096	3733	13	0	0	NULL	0	NULL	NULL	NULL	NULL	22
20190430	2096	1146	7	0	0	NULL	0	1	1	5	0	32
20190329	2096	20047	418	0	0	NULL	0	NULL	NULL	8	0	350
20190430	2096	13037	0	2162	0	NULL	0	2	2	48	0	9080
20190329	2096	3138	35	0	0	0	1	2	0	51	0	114
20190430	2096	18915	4	0	0	NULL	0	2	2	27	2	89
20190430	2096	4293	18	0	0	NULL	0	2	0	15	0	159
20190430	2096	18845	0	19	0	3	0	NULL	NULL	0	0	325
20190430	2096	1122	0	0	0	NULL	1	NULL	NULL	0	4	137
20190329	2096	424	185	2264	0	NULL	0	NULL	NULL	19	0	630
20190329	2096	12264	1	0	0	NULL	0	NULL	NULL	0	0	2
20190430	2096	18436	22	0	0	0	0	2	1	10	1	47
20190329	2096	11457	2	0	0	NULL	0	2	0	74	0	613
20190329	2096	13280	3	0	0	NULL	0	1	1	38	0	83
20190329	2096	14596	20	0	0	NULL	0	NULL	NULL	0	0	32
20190329	2096	14187	6	0	0	0	0	NULL	NULL	94	0	467
20190329	2096	19970	232	449	0	NULL	0	NULL	NULL	0	4	1195
20190329	2096	19724	16	0	0	NULL	1	2	0	0	3	53
20190430	2096	19194	6	0	0	NULL	1	2	2	29	1	21
